iter	RMSE
0	10.66626043
1	10.47137976
2	10.31073768
3	10.17672528
4	10.03059915
5	9.911070293
6	9.805500168
7	9.683203152
8	9.594070137
9	9.485402328
10	9.381006003
11	9.311184782
12	9.238994601
13	9.175201025
14	9.120307839
15	9.060406632
16	9.010320321
17	8.958066121
18	8.919593105
19	8.881688505
20	8.845548394
21	8.804251785
22	8.758644537
23	8.715334236
24	8.681937899
25	8.645695646
26	8.618880461
27	8.58524557
28	8.546306372
29	8.5229501
30	8.501601321
31	8.47148898
32	8.444293395
33	8.425443408
34	8.400838592
35	8.370628392
36	8.348222707
37	8.325201829
38	8.306625842
39	8.27964581
40	8.261546967
41	8.239442586
42	8.203762335
43	8.182234682
44	8.158616924
45	8.132810324
46	8.109919809
47	8.079668434
48	8.06192877
49	8.046244543
50	8.030082067
51	8.007694312
52	7.991939598
53	7.974356857
54	7.954260032
55	7.934924206
56	7.914940037
57	7.900551571
58	7.892302679
59	7.874814193
60	7.85367106
61	7.8369636
62	7.812124108
63	7.791033362
64	7.771275959
65	7.747217902
66	7.722960907
67	7.713604439
68	7.688371433
69	7.673396456
70	7.656090226
71	7.641651839
72	7.629360926
73	7.620764569
74	7.589860645
75	7.572023127
76	7.550723921
77	7.536533782
78	7.517660861
79	7.49094484
80	7.468044969
81	7.448603337
82	7.41373884
83	7.400806806
84	7.38558333
85	7.367227709
86	7.34960184
87	7.323489095
88	7.3069709
89	7.28805928
90	7.268713323
91	7.247338859
92	7.229025426
93	7.213321015
94	7.193321735
95	7.177350378
96	7.157153673
97	7.139770222
98	7.125773709
99	7.103844042
