iter	Passed	Remaining
0	57	5694
1	60	2972
2	63	2042
3	65	1580
4	68	1305
5	71	1126
6	75	1001
7	78	899
8	80	818
9	83	752
10	86	696
11	88	648
12	90	608
13	93	573
14	95	543
15	98	516
16	100	492
17	103	471
18	106	452
19	108	433
20	111	417
21	113	402
22	116	389
23	118	376
24	121	363
25	123	352
26	126	341
27	128	330
28	131	321
29	134	312
30	136	303
31	138	295
32	141	286
33	143	279
34	146	271
35	148	264
36	151	257
37	153	250
38	155	243
39	158	237
40	160	230
41	162	224
42	164	218
43	166	212
44	168	206
45	170	200
46	173	195
47	175	189
48	177	184
49	179	179
50	181	174
51	183	169
52	185	164
53	187	159
54	189	154
55	191	150
56	193	145
57	195	141
58	197	136
59	199	132
60	201	128
61	203	124
62	204	120
63	207	116
64	209	112
65	211	108
66	213	104
67	215	101
68	217	97
69	219	94
70	221	90
71	223	86
72	225	83
73	227	80
74	229	76
75	231	73
76	233	69
77	235	66
78	237	63
79	239	59
80	241	56
81	243	53
82	245	50
83	248	47
84	250	44
85	253	41
86	255	38
87	257	35
88	260	32
89	262	29
90	264	26
91	267	23
92	269	20
93	271	17
94	273	14
95	275	11
96	277	8
97	279	5
98	281	2
99	283	0
